,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
1903,dalush and the click,us,"philadelphia, pa",yes,black,male,False,True,24,0.2916666666666667,0.08333333333333333,0.25,0.0,0.0,0.16666666666666666,0.20833333333333334,0,0,0,0,1,0,0,1,0,1,0,0
1904,jammer,uk,"london, eng",yes,black,male,False,False,20,0.2,0.1,0.25,0.0,0.0,0.35,0.1,0,0,1,0,0,0,0,1,0,1,0,0
1905,aerosubtle,cdn,"lethbridge, ab",no,white,male,True,False,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1906,open mike eagle,us,"los angeles, ca",yes,black,male,False,False,21,0.23809523809523808,0.2857142857142857,0.0,0.0,0.0,0.23809523809523808,0.23809523809523808,0,0,0,0,1,0,0,1,0,1,0,0
1907,king fantastic,us,"venice, ca",yes,black,male,False,True,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1908,ecid,us,"minneapolis, ms",no,white,male,False,False,25,0.0,0.08,0.0,0.0,0.0,0.44,0.48,0,0,0,0,1,1,0,0,0,1,0,0
1909,rakaa,us,"los angeles, ca",yes,black,male,False,False,33,0.0,0.09090909090909091,0.0,0.0,0.0,0.6060606060606061,0.30303030303030304,0,0,0,0,1,0,0,1,0,1,0,0
1910,shawn lee,uk,"london, eng",yes,mixed group,mixed,False,True,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0
1911,bibi tanga and the selenites,int,"paris, fr",yes,mixed group,male,False,True,4,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,1,0,0,0,0,0,1,0,1,0,0
1912,"method man, ghostface killah, raekwon",us,"new york, ny",yes,black,male,False,True,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1913,die antwoord,int,"cape town, south africa",no,white,mixed,False,True,8,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0
1914,cochemea gastelum,us,"brooklyn, ny",yes,native american,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
